"age","type","percent","years_till_retirement"
50,"US Stocks",54.9,15
50,"International Stocks",23.5,15
50,"US Bonds",17.3,15
50,"International Bonds",4.3,15
50,"Short Term TIPS",0,15
51,"US Stocks",54.9,14
51,"International Stocks",23.5,14
51,"US Bonds",17.3,14
51,"International Bonds",4.3,14
51,"Short Term TIPS",0,14
52,"US Stocks",54.9,13
52,"International Stocks",23.5,13
52,"US Bonds",17.3,13
52,"International Bonds",4.3,13
52,"Short Term TIPS",0,13
53,"US Stocks",54.9,12
53,"International Stocks",23.5,12
53,"US Bonds",17.3,12
53,"International Bonds",4.3,12
53,"Short Term TIPS",0,12
54,"US Stocks",54.9,11
54,"International Stocks",23.5,11
54,"US Bonds",17.3,11
54,"International Bonds",4.3,11
54,"Short Term TIPS",0,11
55,"US Stocks",49.6,10
55,"International Stocks",21.3,10
55,"US Bonds",23.3,10
55,"International Bonds",5.8,10
55,"Short Term TIPS",0,10
56,"US Stocks",49.6,9
56,"International Stocks",21.3,9
56,"US Bonds",23.3,9
56,"International Bonds",5.8,9
56,"Short Term TIPS",0,9
57,"US Stocks",49.6,8
57,"International Stocks",21.3,8
57,"US Bonds",23.3,8
57,"International Bonds",5.8,8
57,"Short Term TIPS",0,8
58,"US Stocks",49.6,7
58,"International Stocks",21.3,7
58,"US Bonds",23.3,7
58,"International Bonds",5.8,7
58,"Short Term TIPS",0,7
59,"US Stocks",49.6,6
59,"International Stocks",21.3,6
59,"US Bonds",23.3,6
59,"International Bonds",5.8,6
59,"Short Term TIPS",0,6
60,"US Stocks",44.4,5
60,"International Stocks",19,5
60,"US Bonds",29.3,5
60,"International Bonds",7.3,5
60,"Short Term TIPS",0,5
61,"US Stocks",44.4,4
61,"International Stocks",19,4
61,"US Bonds",29.3,4
61,"International Bonds",7.3,4
61,"Short Term TIPS",0,4
62,"US Stocks",44.4,3
62,"International Stocks",19,3
62,"US Bonds",29.3,3
62,"International Bonds",7.3,3
62,"Short Term TIPS",0,3
63,"US Stocks",44.4,2
63,"International Stocks",19,2
63,"US Bonds",29.3,2
63,"International Bonds",7.3,2
63,"Short Term TIPS",0,2
64,"US Stocks",44.4,1
